Index,Date,Month,Year,USD/BDT
935,28,8,2013,77.66
936,29,8,2013,77.845
937,30,8,2013,77.47
938,2,9,2013,77.76
939,3,9,2013,77.59
940,4,9,2013,77.42
941,5,9,2013,77.36
942,6,9,2013,77.59
943,9,9,2013,77.1
944,10,9,2013,77.83
945,11,9,2013,77.83
946,12,9,2013,77.79
947,13,9,2013,77.7
948,16,9,2013,77.73
949,17,9,2013,77.46
950,18,9,2013,77.83
951,19,9,2013,77.83
952,20,9,2013,77.65
953,23,9,2013,77.81
954,24,9,2013,77.72
955,25,9,2013,77.75
956,26,9,2013,77.825
957,27,9,2013,77.84
958,30,9,2013,77.96
959,1,10,2013,77.83
960,2,10,2013,77.89
961,3,10,2013,77.92
962,4,10,2013,77.89
963,7,10,2013,77.95
964,8,10,2013,77.83
965,9,10,2013,77.85
966,10,10,2013,77.85
967,11,10,2013,77.85
968,12,10,2013,77.845
969,13,10,2013,77.85
970,14,10,2013,77.85
971,15,10,2013,77.66
972,16,10,2013,77.83
973,17,10,2013,77.84
974,18,10,2013,77.83
975,19,10,2013,77.82
976,20,10,2013,77.82
977,21,10,2013,77.82
978,22,10,2013,77.81
979,23,10,2013,77.91
980,24,10,2013,77.74
981,25,10,2013,77.84
982,26,10,2013,77.82
983,27,10,2013,77.82
984,28,10,2013,77.72
985,29,10,2013,77.55
986,30,10,2013,77.47
987,31,10,2013,77.745
988,1,11,2013,77.35
989,2,11,2013,77.82
990,3,11,2013,77.82
991,4,11,2013,77.68
992,5,11,2013,77.82
993,6,11,2013,77.67
994,7,11,2013,77.73
995,8,11,2013,77.705
996,9,11,2013,77.68
997,10,11,2013,77.68
998,11,11,2013,77.68
999,12,11,2013,77.73
1000,13,11,2013,77.68
1001,14,11,2013,77.7
1002,15,11,2013,77.7
1003,16,11,2013,77.65
1004,17,11,2013,77.65
1005,18,11,2013,77.65
1006,19,11,2013,77.65
1007,20,11,2013,77.65
1008,21,11,2013,77.64
1009,22,11,2013,77.64
1010,23,11,2013,77.68
1011,24,11,2013,77.68
1012,25,11,2013,77.68
1013,26,11,2013,77.66
1014,27,11,2013,77.69
1015,28,11,2013,77.68
1016,29,11,2013,77.68
1017,30,11,2013,77.68
1018,1,12,2013,77.68
1019,2,12,2013,77.65
1020,3,12,2013,77.67
1021,4,12,2013,77.645
1022,5,12,2013,77.7
1023,6,12,2013,77.65
1024,7,12,2013,77.65
1025,8,12,2013,77.65
1026,9,12,2013,77.66
1027,10,12,2013,77.7
1028,11,12,2013,77.67
1029,12,12,2013,77.67
1030,13,12,2013,77.68
1031,14,12,2013,77.66
1032,15,12,2013,77.66
1033,16,12,2013,77.66
1034,17,12,2013,77.63
1035,18,12,2013,77.67
1036,19,12,2013,77.65
1037,20,12,2013,77.67
1038,21,12,2013,77.66
1039,22,12,2013,77.66
1040,23,12,2013,77.66
1041,24,12,2013,77.66
1042,25,12,2013,77.31
1043,26,12,2013,77.31
1044,27,12,2013,77.28
1045,28,12,2013,77.22
1046,29,12,2013,77.22
1047,30,12,2013,77.22
1048,31,12,2013,77.3
1049,1,1,2014,77.56
1050,2,1,2014,77.29
1051,3,1,2014,77.31
1052,4,1,2014,77.25
